start_lat,start_lon,end_lat,end_lon,Demand_weight
38.7553,-8.9608,38.75,-9.2333,0.000367
38.7553,-8.9608,38.7452,-9.1604,0.05209484210526315
38.7553,-8.9608,38.8309,-9.1684,0.0040525
38.7553,-8.9608,38.697,-9.3017,0.001209
38.7553,-8.9608,41.1495,-8.6108,7.7e-05
38.6803,-9.1583,38.6803,-9.1583,0.00173625
38.6803,-9.1583,38.75,-9.2333,0.00010683333333333333
38.6803,-9.1583,41.15,-8.5333,5e-07
38.6803,-9.1583,38.7452,-9.1604,0.041259500000000005
38.6803,-9.1583,38.8309,-9.1684,0.00018633333333333338
38.6803,-9.1583,41.2333,-8.6167,1e-06
38.6803,-9.1583,41.2077,-8.6674,7.499999999999999e-06
38.6803,-9.1583,38.8,-9.1833,3.875e-05
38.6803,-9.1583,38.697,-9.3017,0.00017866666666666668
38.6803,-9.1583,41.1495,-8.6108,2.657142857142857e-05
38.6803,-9.1583,41.3428,-8.4775,0.0
38.6803,-9.1583,38.6428,-9.1061,0.000157
38.6803,-9.1583,38.8144,-9.3837,0.0
38.6803,-9.1583,41.1833,-8.5,1e-06
38.6803,-9.1583,41.35,-8.75,0.0
38.75,-9.2333,38.6803,-9.1583,7.05e-05
38.75,-9.2333,38.75,-9.2333,0.009848333333333334
38.75,-9.2333,41.15,-8.5333,1.6666666666666665e-06
38.75,-9.2333,38.7452,-9.1604,0.03807275000000001
38.75,-9.2333,38.8309,-9.1684,0.0002986666666666667
38.75,-9.2333,41.2333,-8.6167,7.000000000000001e-06
38.75,-9.2333,41.2077,-8.6674,1.2499999999999999e-05
38.75,-9.2333,38.8,-9.1833,0.000257
38.75,-9.2333,38.697,-9.3017,0.007860333333333334
38.75,-9.2333,41.2,-8.3333,1e-06
38.75,-9.2333,41.1495,-8.6108,4.842857142857143e-05
38.75,-9.2333,41.3428,-8.4775,2e-06
38.75,-9.2333,38.6428,-9.1061,9e-06
38.75,-9.2333,38.8144,-9.3837,7.000000000000001e-06
38.75,-9.2333,41.1833,-8.5,1.15e-05
